# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Rest of Thailand,trn_freight_road,Light truck,Liquids,2070,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2070,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Light truck,Liquids,2075,non-energy,0.1874,CORE
Nonthaburi,trn_freight_road,Light truck,Liquids,2075,non-energy,0.1874,CORE
Rest of Thailand,trn_freight_road,Light truck,Liquids,2075,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2075,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Light truck,Liquids,2080,non-energy,0.1874,CORE
Nonthaburi,trn_freight_road,Light truck,Liquids,2080,non-energy,0.1874,CORE
Rest of Thailand,trn_freight_road,Light truck,Liquids,2080,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2080,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Light truck,Liquids,2085,non-energy,0.1874,CORE
Nonthaburi,trn_freight_road,Light truck,Liquids,2085,non-energy,0.1874,CORE
Rest of Thailand,trn_freight_road,Light truck,Liquids,2085,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2085,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Light truck,Liquids,2090,non-energy,0.1874,CORE
Nonthaburi,trn_freight_road,Light truck,Liquids,2090,non-energy,0.1874,CORE
Rest of Thailand,trn_freight_road,Light truck,Liquids,2090,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2090,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Light truck,Liquids,2095,non-energy,0.1874,CORE
Nonthaburi,trn_freight_road,Light truck,Liquids,2095,non-energy,0.1874,CORE
Rest of Thailand,trn_freight_road,Light truck,Liquids,2095,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2095,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Light truck,Liquids,2100,non-energy,0.1874,CORE
Nonthaburi,trn_freight_road,Light truck,Liquids,2100,non-energy,0.1874,CORE
Rest of Thailand,trn_freight_road,Light truck,Liquids,2100,non-energy,0.1874,CORE
SamutPrakan,trn_freight_road,Light truck,Liquids,2100,non-energy,0.1874,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,1975,non-energy,0.2543,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,1975,non-energy,0.2543,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,1975,non-energy,0.2543,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,1975,non-energy,0.2543,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,1990,non-energy,0.2543,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,1990,non-energy,0.2543,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,1990,non-energy,0.2543,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,1990,non-energy,0.2543,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2005,non-energy,0.2712,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2005,non-energy,0.2712,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2005,non-energy,0.2712,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2005,non-energy,0.2712,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2010,non-energy,0.2712,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2010,non-energy,0.2712,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2010,non-energy,0.2712,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2010,non-energy,0.2712,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2015,non-energy,0.2712,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2015,non-energy,0.2712,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2015,non-energy,0.2712,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2015,non-energy,0.2712,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2020,non-energy,0.2767,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2020,non-energy,0.2767,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2020,non-energy,0.2767,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2020,non-energy,0.2767,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2025,non-energy,0.2834,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2025,non-energy,0.2834,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2025,non-energy,0.2834,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2025,non-energy,0.2834,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2030,non-energy,0.2897,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2030,non-energy,0.2897,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2030,non-energy,0.2897,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2030,non-energy,0.2897,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2035,non-energy,0.2913,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2035,non-energy,0.2913,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2035,non-energy,0.2913,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2035,non-energy,0.2913,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2040,non-energy,0.2929,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2040,non-energy,0.2929,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2040,non-energy,0.2929,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2040,non-energy,0.2929,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2045,non-energy,0.2949,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2045,non-energy,0.2949,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2045,non-energy,0.2949,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2045,non-energy,0.2949,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2050,non-energy,0.2969,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2050,non-energy,0.2969,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2050,non-energy,0.2969,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2050,non-energy,0.2969,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2055,non-energy,0.297,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2055,non-energy,0.297,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2055,non-energy,0.297,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2055,non-energy,0.297,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2060,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2060,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2060,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2060,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2065,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2065,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2065,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2065,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2070,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2070,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2070,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2070,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2075,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2075,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2075,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2075,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2080,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2080,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2080,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2080,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2085,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2085,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2085,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2085,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2090,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2090,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2090,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2090,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2095,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2095,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2095,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2095,non-energy,0.2971,CORE
Bangkok,trn_freight_road,Medium truck,Liquids,2100,non-energy,0.2971,CORE
Nonthaburi,trn_freight_road,Medium truck,Liquids,2100,non-energy,0.2971,CORE
Rest of Thailand,trn_freight_road,Medium truck,Liquids,2100,non-energy,0.2971,CORE
SamutPrakan,trn_freight_road,Medium truck,Liquids,2100,non-energy,0.2971,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,1975,non-energy,8.8829,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,1975,non-energy,8.8829,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,1975,non-energy,8.8829,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,1975,non-energy,8.8829,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,1990,non-energy,8.8829,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,1990,non-energy,8.8829,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,1990,non-energy,8.8829,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,1990,non-energy,8.8829,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2005,non-energy,8.8829,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2005,non-energy,8.8829,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2005,non-energy,8.8829,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2005,non-energy,8.8829,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2010,non-energy,8.6664,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2010,non-energy,8.6664,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2010,non-energy,8.6664,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2010,non-energy,8.6664,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2015,non-energy,8.4498,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2015,non-energy,8.4498,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2015,non-energy,8.4498,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2015,non-energy,8.4498,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2020,non-energy,8.2333,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2020,non-energy,8.2333,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2020,non-energy,8.2333,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2020,non-energy,8.2333,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2025,non-energy,8.1313,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2025,non-energy,8.1313,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2025,non-energy,8.1313,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2025,non-energy,8.1313,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2030,non-energy,8.0293,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2030,non-energy,8.0293,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2030,non-energy,8.0293,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2030,non-energy,8.0293,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2035,non-energy,7.9274,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2035,non-energy,7.9274,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2035,non-energy,7.9274,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2035,non-energy,7.9274,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2040,non-energy,8.0078,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2040,non-energy,8.0078,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2040,non-energy,8.0078,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2040,non-energy,8.0078,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2045,non-energy,8.0882,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2045,non-energy,8.0882,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2045,non-energy,8.0882,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2045,non-energy,8.0882,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2050,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2050,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2050,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2050,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2055,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2055,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2055,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2055,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2060,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2060,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2060,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2060,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2065,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2065,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2065,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2065,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2070,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2070,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2070,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2070,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2075,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2075,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2075,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2075,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2080,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2080,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2080,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2080,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2085,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2085,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2085,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2085,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2090,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2090,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2090,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2090,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2095,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2095,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2095,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2095,non-energy,8.1686,CORE
Bangkok,trn_pass,Domestic Aviation,Liquids,2100,non-energy,8.1686,CORE
Nonthaburi,trn_pass,Domestic Aviation,Liquids,2100,non-energy,8.1686,CORE
Rest of Thailand,trn_pass,Domestic Aviation,Liquids,2100,non-energy,8.1686,CORE
SamutPrakan,trn_pass,Domestic Aviation,Liquids,2100,non-energy,8.1686,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,1975,non-energy,11.4214,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,1975,non-energy,11.4214,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,1975,non-energy,11.4214,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,1975,non-energy,11.4214,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,1990,non-energy,11.4214,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,1990,non-energy,11.4214,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,1990,non-energy,11.4214,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,1990,non-energy,11.4214,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2005,non-energy,11.4214,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2005,non-energy,11.4214,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2005,non-energy,11.4214,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2005,non-energy,11.4214,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2010,non-energy,11.143,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2010,non-energy,11.143,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2010,non-energy,11.143,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2010,non-energy,11.143,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2015,non-energy,10.8646,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2015,non-energy,10.8646,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2015,non-energy,10.8646,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2015,non-energy,10.8646,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2020,non-energy,10.5861,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2020,non-energy,10.5861,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2020,non-energy,10.5861,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2020,non-energy,10.5861,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2025,non-energy,10.455,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2025,non-energy,10.455,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2025,non-energy,10.455,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2025,non-energy,10.455,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2030,non-energy,10.3239,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2030,non-energy,10.3239,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2030,non-energy,10.3239,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2030,non-energy,10.3239,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2035,non-energy,10.1928,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2035,non-energy,10.1928,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2035,non-energy,10.1928,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2035,non-energy,10.1928,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2040,non-energy,10.2961,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2040,non-energy,10.2961,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2040,non-energy,10.2961,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2040,non-energy,10.2961,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2045,non-energy,10.3995,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2045,non-energy,10.3995,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2045,non-energy,10.3995,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2045,non-energy,10.3995,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2050,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2050,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2050,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2050,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2055,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2055,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2055,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2055,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2060,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2060,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2060,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2060,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2065,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2065,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2065,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2065,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2070,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2070,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2070,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2070,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2075,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2075,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2075,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2075,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2080,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2080,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2080,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2080,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2085,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2085,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2085,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2085,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2090,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2090,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2090,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2090,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2095,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2095,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2095,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2095,non-energy,10.5029,CORE
Bangkok,trn_aviation_intl,International Aviation,Liquids,2100,non-energy,10.5029,CORE
Nonthaburi,trn_aviation_intl,International Aviation,Liquids,2100,non-energy,10.5029,CORE
Rest of Thailand,trn_aviation_intl,International Aviation,Liquids,2100,non-energy,10.5029,CORE
SamutPrakan,trn_aviation_intl,International Aviation,Liquids,2100,non-energy,10.5029,CORE
Bangkok,trn_pass_road,Bus,Liquids,1975,non-energy,1.0832,CORE
Nonthaburi,trn_pass_road,Bus,Liquids,1975,non-energy,1.0832,CORE
Rest of Thailand,trn_pass_road,Bus,Liquids,1975,non-energy,1.0832,CORE
SamutPrakan,trn_pass_road,Bus,Liquids,1975,non-energy,1.0832,CORE
Bangkok,trn_pass_road,Bus,Liquids,1990,non-energy,1.0832,CORE
Nonthaburi,trn_pass_road,Bus,Liquids,1990,non-energy,1.0832,CORE
Rest of Thailand,trn_pass_road,Bus,Liquids,1990,non-energy,1.0832,CORE
SamutPrakan,trn_pass_road,Bus,Liquids,1990,non-energy,1.0832,CORE
Bangkok,trn_pass_road,Bus,Liquids,2005,non-energy,1.1346,CORE
Nonthaburi,trn_pass_road,Bus,Liquids,2005,non-energy,1.1346,CORE
Rest of Thailand,trn_pass_road,Bus,Liquids,2005,non-energy,1.1346,CORE
SamutPrakan,trn_pass_road,Bus,Liquids,2005,non-energy,1.1346,CORE
Bangkok,trn_pass_road,Bus,Liquids,2010,non-energy,1.1346,CORE
Nonthaburi,trn_pass_road,Bus,Liquids,2010,non-energy,1.1346,CORE
Rest of Thailand,trn_pass_road,Bus,Liquids,2010,non-energy,1.1346,CORE
SamutPrakan,trn_pass_road,Bus,Liquids,2010,non-energy,1.1346,CORE
Bangkok,trn_pass_road,Bus,Liquids,2015,non-energy,1.1346,CORE
Nonthaburi,trn_pass_road,Bus,Liquids,2015,non-energy,1.1346,CORE
Rest of Thailand,trn_pass_road,Bus,Liquids,2015,non-energy,1.1346,CORE
SamutPrakan,trn_pass_road,Bus,Liquids,2015,non-energy,1.1346,CORE
Bangkok,trn_pass_road,Bus,Liquids,2020,non-energy,1.1346,CORE
Nonthaburi,trn_pass_road,Bus,Liquids,2020,non-energy,1.1346,CORE
Rest of Thailand,trn_pass_road,Bus,Liquids,2020,non-energy,1.1346,CORE
SamutPrakan,trn_pass_road,Bus,Liquids,2020,non-energy,1.1346,CORE
