# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Bangkok,trn_pass_road,Bus,BEV,2015,non-energy,1.7231,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2015,non-energy,1.7231,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2015,non-energy,1.7231,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2015,non-energy,1.7231,CORE
Bangkok,trn_pass_road,Bus,BEV,2020,non-energy,1.6377,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2020,non-energy,1.6377,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2020,non-energy,1.6377,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2020,non-energy,1.6377,CORE
Bangkok,trn_pass_road,Bus,BEV,2025,non-energy,1.592,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2025,non-energy,1.592,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2025,non-energy,1.592,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2025,non-energy,1.592,CORE
Bangkok,trn_pass_road,Bus,BEV,2030,non-energy,1.5464,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2030,non-energy,1.5464,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2030,non-energy,1.5464,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2030,non-energy,1.5464,CORE
Bangkok,trn_pass_road,Bus,BEV,2035,non-energy,1.5269,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2035,non-energy,1.5269,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2035,non-energy,1.5269,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2035,non-energy,1.5269,CORE
Bangkok,trn_pass_road,Bus,BEV,2040,non-energy,1.5074,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2040,non-energy,1.5074,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2040,non-energy,1.5074,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2040,non-energy,1.5074,CORE
Bangkok,trn_pass_road,Bus,BEV,2045,non-energy,1.496,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2045,non-energy,1.496,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2045,non-energy,1.496,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2045,non-energy,1.496,CORE
Bangkok,trn_pass_road,Bus,BEV,2050,non-energy,1.4845,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2050,non-energy,1.4845,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2050,non-energy,1.4845,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2050,non-energy,1.4845,CORE
Bangkok,trn_pass_road,Bus,BEV,2055,non-energy,1.4839,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2055,non-energy,1.4839,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2055,non-energy,1.4839,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2055,non-energy,1.4839,CORE
Bangkok,trn_pass_road,Bus,BEV,2060,non-energy,1.4834,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2060,non-energy,1.4834,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2060,non-energy,1.4834,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2060,non-energy,1.4834,CORE
Bangkok,trn_pass_road,Bus,BEV,2065,non-energy,1.4833,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2065,non-energy,1.4833,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2065,non-energy,1.4833,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2065,non-energy,1.4833,CORE
Bangkok,trn_pass_road,Bus,BEV,2070,non-energy,1.4833,CORE
