region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2095,non-energy,0.1787,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2100,non-energy,0.1787,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,1975,non-energy,0.3614,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,1990,non-energy,0.3614,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2005,non-energy,0.2696,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2010,non-energy,0.2674,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2015,non-energy,0.2653,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2020,non-energy,0.2777,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2025,non-energy,0.2857,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2030,non-energy,0.2935,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2035,non-energy,0.2951,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2040,non-energy,0.3015,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2045,non-energy,0.3073,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2050,non-energy,0.3132,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2055,non-energy,0.313,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2060,non-energy,0.3127,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2065,non-energy,0.3125,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2070,non-energy,0.3123,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2075,non-energy,0.3121,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2080,non-energy,0.3119,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2085,non-energy,0.3116,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2090,non-energy,0.3114,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2095,non-energy,0.3112,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2100,non-energy,0.3112,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,1975,non-energy,0.0961,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,1990,non-energy,0.0961,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2005,non-energy,0.0714,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2010,non-energy,0.0699,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2015,non-energy,0.0685,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2020,non-energy,0.0709,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2025,non-energy,0.0723,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2030,non-energy,0.0737,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2035,non-energy,0.0736,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2040,non-energy,0.075,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2045,non-energy,0.0764,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2050,non-energy,0.0777,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2055,non-energy,0.0776,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2060,non-energy,0.0775,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2065,non-energy,0.0774,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2070,non-energy,0.0773,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2075,non-energy,0.0773,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2080,non-energy,0.0772,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2085,non-energy,0.0771,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2090,non-energy,0.077,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2095,non-energy,0.0769,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2100,non-energy,0.0769,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,1975,non-energy,0.2656,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,1990,non-energy,0.2656,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2005,non-energy,0.2825,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2010,non-energy,0.2825,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2015,non-energy,0.2825,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2020,non-energy,0.2862,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2025,non-energy,0.2919,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2030,non-energy,0.2993,CORE
Thailand,trn_freight_road,Heavy truck,Liquids,2035,non-energy,0.3008,CORE
